Date,Description,Amount,Reference
01-06-2026,NEFT INWARD ACME CORP,150000,NEFT9821
02-06-2026,AMZN MKTP IN PURCHASE,-4599.50,
03-06-2026,SALARY CREDIT JUNE,85000,SAL0603
04-06-2026,ELECTRICITY BOARD PMT,-3200,UTIL445
05-06-2026,UPI TO SHARMA TRADERS,-12500,UPI7788
06-06-2026,IMPS FROM GLOBAL LOGISTICS,67800,IMPS3321
07-06-2026,ATM WDL,-10000,
08-06-2026,RENT PAYMENT JUNE,-45000,RENT06
09-06-2026,INT CREDIT SAVINGS,220.50,
10-06-2026,UPI FROM RAVI KUMAR,5000,UPI9012
11-06-2026,POS PURCHASE FLIPKART,-2340,
12-06-2026,NEFT INWARD BETA LTD,32000,NEFT1145
13-06-2026,CHEQUE DEPOSIT 000221,18000,CHQ221
14-06-2026,GST PAYMENT,-15600,GSTQ2
15-06-2026,UPI TO SHARMA TRADR,-12500,UPI7789
